Full Name,Cole Number,Collection Status,Species,Picture,Flower Color,Flower Picture,Subspecies,Variety,Form,Locality Data,Watering,Cultivar Name,Synonym,Cultivar and Synonym
L. hallii v. hallii (brown Form),C135,FALSE,hallii,,W,,,v. hallii,(brown Form),"20 km SE of Strydenburg, South Africa",,,,
L. hallii v. hallii (brown Form),C136,FALSE,hallii,,W,,,v. hallii,(brown Form),"35 km ENE of Strydenburg, South Africa",,,,
L. hallii v. hallii (syn. salicola reticulata),C087,FALSE,hallii,,W,,,v. hallii,,"TL: 30 km SE of Hopetown, South Africa",,,(syn. salicola reticulata),(syn. salicola reticulata)
L. hallii v. ochracea,C039,FALSE,hallii,,W,,,v. ochracea,,"5 km NE of Groblershoop, South Africa",,,,
L. hallii v. ochracea,C059,FALSE,hallii,,W,,,v. ochracea,,"TL: 10 km NW of Upington, South Africa",,,,
L. hallii v. ochracea,C098,FALSE,hallii,,W,,,v. ochracea,,"50 km NNW of Upington, South Africa",,,,
L. hallii v. ochracea,C111,FALSE,hallii,,W,,,v. ochracea,,"35 km WNW of Prieska, South Africa",,,,
L. hallii v. ochracea,C142A,FALSE,hallii,,W,,,v. ochracea,,"30 km NW of Niekerkshoop, South Africa",,,,
L. hallii v. ochracea,C303,FALSE,hallii,,W,,,v. ochracea,,"30 km E of Kenhardt, South Africa",,,,
L. hallii v. ochracea,C372,FALSE,hallii,,W,,,v. ochracea,,"15 km SW of Upington, South Africa",,,,
L. hallii v. ochracea 'Green Soapstone',C111A,FALSE,hallii,,W,,,v. ochracea,,"35 km WNW of Prieska, South Africa",,'Green Soapstone',,'Green Soapstone'
L. helmutii,C271,FALSE,helmutii,,YWC,,, ,,"TL: 15 km NE of Steinkopf, South Africa",,,,
L. hermetica ,C397,FALSE,hermetica,,Y,,, ,,"TL: 140 km SE of Lüderitz, Namibia",,,,
L. hermetica 'Green Diamond' ,C397A,FALSE,hermetica,,Y,,,,,"TL: 140 km SE of Lüderitz, Namibia",,'Green Diamond' ,,'Green Diamond' 
L. herrei,C213,FALSE,herrei,,YWC,,, ,,"65 km NE of Alexander Bay, South Africa",,,,
L. herrei,C234,FALSE,herrei,,YWC,,, ,,"70 km NE of Alexander Bay, South Africa",,,,
L. herrei,C235,FALSE,herrei,,YWC,,, ,,"TL: 35 km NE of Alexander Bay, South Africa",,,,
L. herrei,C355,FALSE,herrei,,YWC,,, ,,"65 km NNE of Oranjemund, Namibia",,,,
L. herrei,C361,FALSE,herrei,,YWC,,, ,,"30 km NE of Alexander Bay, South Africa",,,,
L. herrei (syn. translucens),C236,FALSE,herrei,,YWC,,,,,"15 km NE of Alexander Bay, South Africa",,,(syn. translucens),(syn. translucens)
L. herrei (syn. translucens),C237,FALSE,herrei,,YWC,,,,,"15 km E of Alexander Bay, South Africa",,‘Splendido',(syn. translucens),(syn. translucens)
L. hookeri v. dabneri,C013,FALSE,hookeri,,Y,,,v. dabneri,,"TL: 25 km S of Kimberley, South Africa",,,,
L. hookeri v. dabneri,C085,FALSE,hookeri,,Y,,,v. dabneri,,"35 km W of Kimberley, South Africa",,,,
L. hookeri v. dabneri,C301,FALSE,hookeri,,Y,,,v. dabneri,,"20 km NNE of Douglas, South Africa",,,,
L. hookeri v. elephina,C092,FALSE,hookeri,,Y,,,v. elephina,,"TL: 10 km N of Britstown, South Africa",,,,
L. hookeri v. elephina,C093,FALSE,hookeri,,Y,,,v. elephina,,"25 km NE of Britstown, South Africa",,,,
L. hookeri v. hookeri,C110,FALSE,hookeri,,Y,,,v. hookeri,,"50 km NW of Marydale, South Africa",,,,
L. hookeri v. hookeri,C112,FALSE,hookeri,,Y,,,v. hookeri,,"40 km WNW of Prieska, South Africa",,,,
L. hookeri v. hookeri,C113,FALSE,hookeri,,Y,,,v. hookeri,,"10 km NW of Niekerkshoop, South Africa",,,,
L. hookeri v. hookeri,C114,FALSE,hookeri,,Y,,,v. hookeri,,"15 km NW of Niekerkshoop, South Africa",,,,
L. hookeri v. hookeri,C118,FALSE,hookeri,,Y,,,v. hookeri,,"25 km W of Strydenburg, South Africa",,,,
