10D02	GM 578	Haworthia	bayeri 'indigoa'	JIL		Matjiesdrift	
10E01	JDV 90/8	Haworthia	comptoniana	IB		Vaalkranz, W of Willowmore	
10E02	IB 4502	Haworthia	comptoniana	IB		Willowmore	
10E03	JDV 90/8	Haworthia	comptoniana	IB		Vaalkranz, W of Willowmore	
10E04	KF 2282	Haworthia	comptoniana	KF			
10F01	JDV 88/67	Haworthia	mirabilis v. sublineata	IB		S of Bredasdorp	
10F02	WBB 088	Haworthia	mirabilis v. sublineata	IB		N of Bredasdorp	
10F03	IB	Haworthia	mirabilis v. sublineata	JIL		Heuningberg	
11001	IB 40826	Haworthia	truncata f. crassa	IB			
11002	Z-4	Haworthia	truncata f. crassa	Tanya < Nishi			"congesta"
11101	IB 25548	Haworthia	hybrid	IB	splendens (GM 452) x enigma (GM 412)		
11102	IB 25537	Haworthia	hybrid	IB	Jupiter x comptoniana (JDV 90/8)		
11103	IB 24828	Haworthia	hybrid	IB	comptoniana x laeta Jupiter		
11104	IB 26251	Haworthia	hybrid	IB	enigma (GM 412) x groenewaldii (GM 695)		
11105	IB 26260	Haworthia	hybrid	IB	picta v. tricolor (GM256) x Drew White		
11106		Haworthia	hybrid	Iryna	truncata x maughanii		
11107		Haworthia	hybrid	Melanie W.	splendens x picta		pink, flat
11108		Haworthia	hybrid	Melanie W.	splendens x picta		green, robust
11109		Haworthia	hybrid	eBay	comptoniana x bayeri		
1110A		Haworthia	hybrid	eBay	comptoniana x bayeri		
1110B	Internet	Haworthia	hybrid	Tanya < Bill  Baker			
1110C		Haworthia	hybrid	Sun Love	pygmaea x picta		
1110D		Haworthia	hybrid	Kambroo			
1110E		Haworthia	hybrid	Kris T.	splendens x badia		
1110F		Haworthia	hybrid		Lombard Star hyb.		
11110		Haworthia	hybrid	Kris T.	Shikinjoh x Black Knight		
11111		Haworthia	hybrid	Kris T. < South Africa	splendens x pygmaea		
11112		Haworthia	hybrid	Kambroo	Gensekai x picta		
11113		Haworthia	hybrid	Kris T.	(Gensekai x splendens) x picta		
11201	GM 685	Haworthia	chromutica	IB		Morning Star, S of Heidelberg	
11301	GM 261	Haworthia	bayeri 'jadea'	IB		Eastern slopes of the Paardeberg, NW of Leeublad, Kammanassie Dam	
11302	GM 264	Haworthia	bayeri 'jadea'	AHH (seed)		South of Oudtshoorn, Western Cape	
11303	GM 264	Haworthia	bayeri 'jadea'	AHH (seed)		South of Oudtshoorn, Western Cape	
11304	GM 261	Haworthia	bayeri 'jadea'	Haworthialand		Eastern slopes of the Paardeberg, NW of Leeublad, Kammanassie Dam	
11401	GM 452	Haworthia	splendens	IB		W of Albertinia	
11402	Natalie (GM 452)	Haworthia	splendens	Sun Love		W of Albertinia	
11403		Haworthia	splendens	Melanie W.	(GM 452) x splendens		
11404		Haworthia	splendens	Kris T. < Renny			lovely red color
11405		Haworthia	splendens	eBay			TC spec.
11406		Haworthia	splendens	Adam R. < Japan			"black" splendens
11407		Haworthia	splendens	eBay:plantaseca			TC spec.
11408		Haworthia	splendens	Clinton G.			
11409	MBB 6751	Haworthia	splendens	Haworthialand		Soutpan, W Albertinia	
1140A	Hana Aoi	Haworthia	splendens	eBay			
11501	ISI 1762	Haworthia	cooperi v. ikra	IB		Bolo Nature Reserve, NE of Stutterheim and N of Umgwali Reserve	
11601	JDV 88/21	Haworthia	subretusa	IB		NW of Heidelberg	
11701	MBB 6783	Haworthia	mirabilis v. mundula	IB		Mierkraal, SW of Bredasdorp	
11702	Bat Wings	Haworthia	mirabilis v. mundula	C&D			
11801	VDV 0136	Haworthia	acuminata	IB		6 km W of Vleesbaai, N of Johnsons Post	
11802	VDV 136	Haworthia	acuminata	JIL		6 km W Vleesbaai, N Johnsons Post	
11803	VDV 075	Haworthia	acuminata	JIL		Johnsons Post, Vleesbaai	
11804	JIL	Haworthia	acuminata	JIL		Vleesbaai	
11805	VDV 050	Haworthia	acuminata	JIL		SW near Vleesbaai	
11806	JDV 87/5	Haworthia	acuminata	KF		Just East of Riversdale, Western Cape        	
11807	JDV 91/39	Haworthia	acuminata	KF		N of Gouritzmond	
11808	JDV 87/92	Haworthia	acuminata	KF		N of Gouritzmond	
11901	GM 583	Haworthia	parksiana	IB		Rooiheuwel, N of Little Brak River	
11A01	JIL 0364	Haworthia	retusa	IB		Droerivier, 8 km SW of Riversdale	
11B01	JDV 97/135	Haworthia	asperata	IB		Krantzhoek, above farm, Langfontein, N of Herbertsdale	
11C01	GM 267	Haworthia	picta v. janvlokii	IB		Paardeberg, Kammanassie Dam, SE of Oudtshoorn	
11C02	GM 267	Haworthia	picta v. janvlokii	Kambroo		Paardeberg, Kammanassie Dam, SE of Oudtshoorn	
11D01	IB 13757	Haworthia	mirabilis 'jakubii'	IB		Melkhoutkraal, Kafferkuilsrivier	
11E01	JDV 88/76	Haworthia	magnifica	IB		NW of Riversdale	
11E02	JIL	Haworthia	magnifica	JIL		TL, Wenier Frehse	
11E03	GM 306	Haworthia	magnifica	JIL		4 km NE Riversdale	
11E04	IB 8963	Haworthia	magnifica	KF		Zeefoefat, RSA	
11F01	MBB 7612	Haworthia	maraisii	IB		Diamant, Swellendam	
12001	GM 256	Haworthia	picta v. tricolor	Kambroo		Rooiberg Pass, Western Cape, South Africa	Selected seedling
12002	GM 256	Haworthia	picta v. tricolor	Kambroo		Rooiberg Pass, Western Cape, South Africa	
12003	GM 256	Haworthia	picta v. tricolor	Kambroo		Rooiberg Pass, Western Cape, South Africa	
12101	MBB	Haworthia	groenewaldii aff.	JIL		Buffeljagsrivier, W.	
12201	MBB	Haworthia	mirabilis 'hammeri'	JIL		Die Kop, E	
12202	MBB 7500	Haworthia	mirabilis 'hammeri'	Haworthialand		Die Kop East, Wydgelee	
12301	GM 703	Haworthia	mirabilis 'joleneae'	JIL		near Melkhoutrivier	
12401	MBB	Haworthia	mirabilis v. beukmannii	JIL		Schuitsberg	
12501	MBB	Haworthia	heidelbergensis	JIL		Die Plotte, W Heidelberg	
12502	GM	Haworthia	heidelbergensis	JIL		Just E Heidelberg	
12601	MBB 6631	Haworthia	mirabilis 'mundula'	JIL		Miekraal, SW Bredasdorp	
12701	JDV 90/1	Haworthia	retusa v. nigra	JIL		Diepkloof, E Heidelberg	
12801	JDV 84/15	Haworthia	pygmaea	JIL		Great Brakrivier	
12802	DMC 09961	Haworthia	pygmaea	Haworthialand		Mossgass	
12803	KF 2276	Haworthia	pygmaea	KF			
12804	KF 1868	Haworthia	pygmaea	KF			
12805	KF 2181	Haworthia	pygmaea	KF			
12806	KF 3297	Haworthia	pygmaea	KF			
12807	KF 2045	Haworthia	pygmaea	KF			
12808	KF 2042	Haworthia	pygmaea	KF			
